SEQNUM,BIN_ACCOUNT_MIN_LENGTH,BIN_ACCOUNT_MAX_LENGTH,BIN_ACCOUNT_RANGE_LOW,BIN_ACCOUNT_RANGE_HIGH,BIN_CARD_TYPE,BIN_MOD10_CHECK,BIN_EXPIRY_DATE_CHECK,BIN_PROMPT_CVV,BIN_PROMPT_AVS,BIN_CARD_NAME,BIN_CARD_MNEMONICS,BIN_OFFLINE_FLOOR_LIMIT,BIN_QPS_FLOOR_LIMIT,BIN_DURBIN_BIN_REG_INDICATOR,BIN_IS_WHITELISTED
83,16,16,449271168,449271173,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
84,16,16,449271175,449271176,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
85,16,16,449271178,449271187,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
86,16,16,449271189,449271196,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
87,16,16,449271198,449271211,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
88,16,16,449271213,449271222,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
89,16,16,449271224,449271226,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
90,16,16,449271229,449271231,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
91,16,16,449271233,449271246,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
92,16,16,449271248,449271251,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
93,16,16,449271253,449271257,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
94,16,16,449271259,449271259,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
95,16,16,449271261,449271265,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
96,16,16,449271267,449271267,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
97,16,16,449271282,449271283,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
98,16,16,449271285,449271285,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
99,16,16,449271288,449271289,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
100,16,16,449271292,449271292,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
101,16,16,449271294,449271294,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
102,16,16,449271306,449271306,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
103,16,16,449271308,449271310,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
104,16,16,449271319,449271322,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
105,16,16,449533000,449533999,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
106,16,16,450472000,450472999,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
107,16,16,455919000,455919999,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
108,16,16,462543000,462543999,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
109,16,16,464717000,464717999,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
110,16,16,468474000,468474999,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
111,16,16,472476000,472476999,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
112,16,16,476316000,476316999,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
113,16,16,484360000,484360000,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
114,16,16,484360002,484360999,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
115,16,16,488874000,488874999,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
116,16,16,488876000,488876999,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
117,16,16,488877000,488877999,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
118,16,16,488878000,488878999,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
119,16,16,489545000,489545999,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
120,16,16,489600000,489600999,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
121,16,16,492133000,492133999,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
122,16,16,496004000,496004999,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
123,16,16,1000040225,1000040225,NNNYNNNNNNNN,1,1,1,0,U,,,5,0,0
124,17,17,1111002006,1111002006,NYNNNNNNYNNN,1,1,1,0,U,,,5,0,0
125,17,17,1111006138,1111006138,NYNNNNNNYNNN,1,1,1,0,U,,,5,0,0
